GUI Tab,Function,Feature,Keyword,Dependency,Type,Min,Max,Description
Communications,M1553 Cross Communication Data ECU to BC Pane 2,CGVFB Validity RT to BC,cgvfbValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,CGVFB Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 2,Engine Oil Pressure Validity RT to BC,pOilValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Oil Pressure Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 2,FADEC OT Validity RT to BC,fadecOTValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,FADEC OT Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 2,WFCMD Validity RT to BC,wfcmdValEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,WFCMD Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 3,ATS Fail RT to BC,atsFailEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ATS Fail sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 3,Inlet Total Pressure RT to BC,pt2EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Inlet Total Pressure sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 3,Inlet Total Temperature RT to BC,tt2EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Inlet Total Temperature sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 3,MN Fail RT to BC,machFailEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,MN Fail sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 3,Other Control Validity RT to BC,otherCtrlValidityEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Other Control Validity sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 4,Engine Cutoff RT to BC,engCutoffEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Engine Cutoff sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 4,PCU Degraded RT to BC,ecuADegEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Degraded sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 4,PCU Fail RT to BC,ecuAFailEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Fail sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 4,PCU In Control RT to BC,ecuAInCtrlEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU In Control sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 4,PCU Operational RT to BC,ecuAOpEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Operational sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 5,ACU Degraded RT to BC,ecuBDegEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Degraded sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 5,ACU Fail RT to BC,ecuBFailEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Fail sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 5,ACU In Control RT to BC,ecuBInCtrlEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU In Control sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 5,ACU Operational RT to BC,ecuBOpEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Operational sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 5,PCU Load Inhibit ON RT to BC,ecuALoadInhOnEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU Load Inhibit ON sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 6,ACU ATS Permit ON RT to BC,ecuBATSPermitOnEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU ATS Permit ON sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 6,ACU Load Inhibit ON RT to BC,ecuBLoadInhOnEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ACU Load Inhibit ON sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 6,CGV Command RT to BC,cgvcmdEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,CGV Command sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 6,Fuel Flow Command RT to BC,wfcmdEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,Fuel Flow Command sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 6,PCU ATS Permit ON RT to BC,ecuAATSPermitOnEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,PCU ATS Permit ON sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 7,CGV Feedback RT to BC,cgvfbEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,CGV Feedback sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 7,ECU Inlet Temperature Lane RT to BC,ecuT2rawEcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Inlet Temperature Lane sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 7,ECU Reserved FT Parameter RT to BC 1,ecuDaq1EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 1 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 7,ECU Reserved FT Parameter RT to BC 2,ecuDaq2EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 2 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 7,ECU Reserved FT Parameter RT to BC 3,ecuDaq3EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 3 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 8,ECU Reserved FT Parameter RT to BC 4,ecuDaq4EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 4 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 8,ECU Reserved FT Parameter RT to BC 5,ecuDaq5EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 5 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 8,ECU Reserved FT Parameter RT to BC 6,ecuDaq6EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 6 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 8,ECU Reserved FT Parameter RT to BC 7,ecuDaq7EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 7 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 8,ECU Reserved FT Parameter RT to BC 8,ecuDaq8EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 8 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 10,ecuDaq10EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 10 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 11,ecuDaq11EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 11 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 12,ecuDaq12EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 12 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 13,ecuDaq13EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 13 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 14,ecuDaq14EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 14 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to BC Pane 9,ECU Reserved FT Parameter RT to BC 9,ecuDaq9EcuToBcM1553,dataSetCrossCommM1553,Selection,0,1000,ECU Reserved FT Parameter 9 sent from ECU to BC
Communications,M1553 Cross Communication Data ECU to ECU Pane 10,Engine ON RT to RT,engOnEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,Engine ON sent from ECU to ECU
Communications,M1553 Cross Communication Data ECU to ECU Pane 10,FADEC O/T RT to RT,fadecOTEcuToEcuM1553,dataSetCrossCommM1553,Selection,0,1000,FADEC O/T sent from ECU to ECU
